Codigo;CodBarras;Descripcion;exisMerida;exisCaracas;Marca;Precio;Oferta;Grupo;Vence;Principio;Escala;DescXEscala;Bonifica;CantBonifica
12075;;ACEITE DE MACADAMIA 30ML TU PUNTO MAG;19;0;TU PUNTO MAGISTRAL;7.00;7.00;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
57455;7591012047006;ACEITE DE RICINO 30 CC LYA;73;279;LYA;8.32;7.49;PATENTADOS NATURALES;2024-11-25;ACEITE DE RICINO;1.00;10.00;0.000;0.000
30103;7592368000165;ACEITE DE RICINO 30CM3. FSI;31;0;FSI;12.82;10.90;PATENTADOS NATURALES;2023-09-25;ACEITE DE RICINO;1.00;15.00;0.000;0.000
15744;7597134000103;ACEITE DE RICINO X 120 ML LA ABEJITA;14;37;LA ABEJITA;20.35;20.35;PATENTADOS NATURALES;2023-05-25;ACEITE DE RICINO;0.00;0.00;0.000;0.000
1016;7594001450153;ACEITE DE RICINO X 30 ML RECETTEMARK;0;7;RECETTEMARK;9.51;9.51;PATENTADOS NATURALES;NULL;ACEITE DE COCO;0.00;0.00;0.000;0.000
1016-1;7594001455370;ACEITE DE RICINO X 70ML AEROSOL RECETTEMARK;37;22;RECETTEMARK;17.73;17.73;PATENTADOS NATURALES;2022-04-25;ACEITE DE COCO;0.00;0.00;0.000;0.000
25925;7591012200008;ACEITE MINERAL 30 CC LYA;96;66;LYA;5.93;5.34;PATENTADOS NATURALES;2024-12-25;ACEITE MINERAL ;1.00;10.00;0.000;0.000
30104;7592368000196;ACEITE MINERAL 30 cm³  FSI;19;0;FSI;7.77;6.60;PATENTADOS NATURALES;2024-02-25;ACEITE MINERAL ;1.00;15.00;0.000;0.000
54741;7591616000162;ACEITE MINERAL 30ML BIOFARCO;12;49;BIOFARCO;5.73;5.27;PATENTADOS NATURALES;2023-11-25;ACEITE MINERAL ;1.00;8.00;0.000;0.000
0231;112244301123;ACEITE MINERAL 30ML FARMAGENIK;0;40;FARMAGENIK;8.06;6.05;PATENTADOS NATURALES;NULL;ACEITE MINERAL ;1.00;25.00;0.000;0.000
890481;8904278577481;ACEITE RELAJANTE DE MASAJE PARA BEBE FAHD;54;53;FAHD;18.54;18.54;MISCELANEOS;2024-02-25;;0.00;0.00;0.000;0.000
09288;7591616000131;ACEITE RICINO 30ML BIOFARCO;28;123;BIOFARCO;8.81;7.93;PATENTADOS NATURALES;2025-02-25;ACEITE DE RICINO;1.00;10.00;0.000;0.000
0258;112244301130;ACEITE RICINO 30ML FARMAGENIK;0;5;FARMAGENIK;12.65;9.49;PATENTADOS NATURALES;NULL;ACEITE DE RICINO;1.00;25.00;0.000;0.000
09222;;ACEITE RICINO PLUS X 30ML SOMA;0;100;SOMA;11.90;10.47;PATENTADOS NATURALES;NULL;ACEITE DE RICINO;1.00;12.00;0.000;0.000
60246;8904306500900;ACERT 8MG X100 TAB PRISM;2;0;PRISM;69.98;69.98;MEDICAMENTOS;2024-02-25;CANDESARTAN ;0.00;0.00;0.000;0.000
10990;7591196004802;ACETAB 250MG X 20 TAB OFTALMI;164;352;OFTALMI;31.86;31.86;MEDICAMENTOS;2023-10-25;ACETAZOLAMIDA (250 mg);0.00;0.00;0.000;0.000
51010;7591818132074;ACETAMINOFEN 120MG/5ML JBE X120ML COFASA;1;1;COFASA;9.32;8.39;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;10.00;0.000;0.000
60976;7703038060970;ACETAMINOFEN 30ML GTAS PED SAB CEREZA LAPROFF;0;1;LAPROFF;10.61;9.55;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;10.00;0.000;0.000
7598425;7598429000020;ACETAMINOFEN 500 MG X 10 COMP CAMBRIDGE;3;0;CAMBRIDGE;1.59;1.59;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
37665;7591585376657;ACETAMINOFEN 500 MG X 10 COMP GENVEN;0;128;GENVEN;3.48;3.48;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
70120;7594000850626;ACETAMINOFEN 500MG TAB X 12 BIOQUIMICA;1459;1126;BIOQUIMICA;6.56;6.43;MEDICAMENTOS;2024-05-25;ACETAMINOFEN;1.00;2.00;0.000;0.000
70019;7594000850633;ACETAMINOFEN 500MG TAB X 24 BIOQUIMICA;0;561;BIOQUIMICA;10.96;10.74;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;2.00;0.000;0.000
30002;7702605100019;ACETAMINOFEN 500MG X 100 TAB GENFAR;11;89;GENFAR;34.34;34.34;MEDICAMENTOS;2024-06-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
720105;720524031105;ACETAMINOFEN 500MG X 100 TAB LATTAN;438;194;LATTAN;33.12;29.81;MEDICAMENTOS;2023-08-25;ACETAMINOFEN;1.00;10.00;0.000;0.000
140216;7592454000031;ACETAMINOFEN 500MG X 20 TAB  ELTER;2130;2201;LA SANTE;6.90;6.21;MEDICAMENTOS;2024-01-25;ACETAMINOFEN;1.00;10.00;0.000;0.000
55986;7597758000596;ACETAMINOFEN 500MG X 20 TAB ALESS;3696;3172;ALESS;6.63;5.97;MEDICAMENTOS;2024-03-25;ACETAMINOFEN;1.00;10.00;0.000;0.000
61103-1;7703038050018;ACETAMINOFEN 500MG X 300 TAB LAPROFF;51;11;LAPROFF;60.79;54.71;MEDICAMENTOS;2023-10-25;ACETAMINOFEN;1.00;10.00;0.000;0.000
141837;7592454003391;ACETAMINOFEN 650 MG DISP X 100 TAB LA SANTE;346;52;LA SANTE;41.41;41.41;MEDICAMENTOS;2024-02-25;ACETAMINOFEN;0.00;0.00;0.000;0.000
140218;7592454001243;ACETAMINOFEN 650 mg TAB X 10 ELTER;7819;4357;LA SANTE;4.81;2.89;MEDICAMENTOS;2024-03-25;ACETAMINOFEN;1.00;40.00;0.000;0.000
13557649;7592616576497;ACETAMINOFEN 650 mg TAB X 10 KIMICEG;510;698;KIMICEG;6.13;5.70;MEDICAMENTOS;2023-11-25;ACETAMINOFEN;1.00;7.00;0.000;0.000
27905;7591585279057;ACETAMINOFEN 650 mg TAB X 10LETI;0;261;LETI;4.54;4.31;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;5.00;0.000;0.000
70014;7594000851258;ACETAMINOFEN 650MG TAB X 10 BIOQUIMICA;1221;874;BIOQUIMICA;6.47;6.34;MEDICAMENTOS;2023-05-25;ACETAMINOFEN;1.00;2.00;0.000;0.000
70121;7594000851265;ACETAMINOFEN 650MG TAB X 20 BIOQUIMICA;72;0;BIOQUIMICA;11.85;11.61;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;2.00;0.000;0.000
07538;7594000850855;ACETAMINOFEN JBE 120MG/5ML X 100ML BIOQUIMICA;2414;1;BIOQUIMICA;9.59;9.40;MEDICAMENTOS;2024-02-25;ACETAMINOFEN;1.00;2.00;0.000;0.000
142748;7592454003100;ACETAMINOFEN JBE PED 150/5ML X120ML ELTER;4523;4206;LA SANTE;6.91;5.53;MEDICAMENTOS;2025-03-25;ACETAMINOFEN;1.00;20.00;0.000;0.000
55985;7597758000459;ACETAMINOFEN JBE PED 180/5ML X120ML ALESS;2;0;ALESS;10.24;9.22;MEDICAMENTOS;NULL;ACETAMINOFEN;1.00;10.00;0.000;0.000
92204;7594000850824;ACETAMINOFEN JBE. 180MG X 120ML BIOQUIMICA;1488;0;BIOQUIMICA;12.60;12.35;MEDICAMENTOS;2025-02-25;ACETAMINOFEN;1.00;2.00;0.000;0.000
056575;6921875011363;ACETAMINOFEN SUP 100 MG X 6 KMPLUS;4;144;KMPLUS;6.78;6.78;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
057573;6921875008530;ACETAMINOFEN TAB 500 MG X 10 KMPLUS;6;0;KMPLUS;1.79;1.79;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
11552;7594001101604;ACETAMINOFEN TAB 650MG X 10 PLUSANDEX;1722;1943;PLUSANDEX;3.85;3.47;MEDICAMENTOS;1969-12-25;ACETAMINOFEN;1.00;10.00;0.000;0.000
16001;7591519008494;ACETAMINOFEN-TRAMADOL 325/37,5mg x10 TA CALOX;572;380;CALOX;19.24;19.24;ESTUPEFACIENTE;2024-04-25;ACETAMINOFEN -TRAMADOL CLORHIDRATO ;0.00;0.00;0.000;0.000
2164;8906012342164;ACETAMINOFENO 500MG X30 TAB VIDA LABS;3;0;VIDA LABS;6.36;6.36;MEDICAMENTOS;NULL;ACETAMINOFEN;0.00;0.00;0.000;0.000
05302;7592806121018;ACETOBEN FRASCO 120 ML RONAVA;0;1;RONAVA;12.98;12.98;MEDICAMENTOS;NULL;GUAIFENESINA;0.00;0.00;0.000;0.000
100333;7591020008839;ACEVAL 180MG/5ML X 120ML SOL VALMOR;249;0;VALMOR;12.07;10.26;MEDICAMENTOS;2024-03-25;ACETAMINOFEN;1.00;15.00;0.000;0.000
37536;7591020000611;ACEVAL 650MG X 10 TAB VALMOR;467;1385;VALMOR;6.16;4.93;MEDICAMENTOS;2026-07-25;ACETAMINOFEN;1.00;20.00;0.000;0.000
656595;7750215001905;ACICLOVIR 0,05% CREMA X 5G PORTUGAL;38;6;PORTUGAL;15.91;14.32;MEDICAMENTOS;NULL;ACICLOVIR ;1.00;10.00;0.000;0.000
705001;7598429000044;ACICLOVIR 200 mg TAB X 10 CAMBRIDGE;0;600;CAMBRIDGE;5.08;5.08;MEDICAMENTOS;NULL;ACICLOVIR ;0.00;0.00;0.000;0.000
720174;720524031174;ACICLOVIR 200 MG TAB X 10 TAB LATTAN;274;343;LATTAN;9.11;8.20;MEDICAMENTOS;2023-06-25;ACICLOVIR ;1.00;10.00;0.000;0.000
140220;7592454102001;ACICLOVIR 200 mg TAB X 24 ELTER;161;233;LA SANTE;16.58;14.92;MEDICAMENTOS;2023-11-25;ACICLOVIR ;1.00;10.00;0.000;0.000
49010;7591519005639;ACICLOVIR 200 MG TAB X 25 CALOX;92;60;CALOX;19.48;17.53;MEDICAMENTOS;2024-07-25;ACICLOVIR ;2.00;10.00;0.000;0.000
34820;7592348201100;ACICLOVIR 200 mg TAB X 25 POLINAC;256;126;POLINAC;17.10;17.10;MEDICAMENTOS;2023-06-25;ACICLOVIR ;0.00;0.00;0.000;0.000
565635;7750215003602;ACICLOVIR 200 MG X 100 TAB  PORTUGAL;12;20;PORTUGAL;65.10;52.08;MEDICAMENTOS;2024-01-25;ACICLOVIR ;1.00;20.00;0.000;0.000
50025-1;7703038050025;ACICLOVIR 200MG X 240 TAB  LAPROFF;2;41;LAPROFF;184.05;165.65;MEDICAMENTOS;2023-05-25;ACICLOVIR ;1.00;10.00;0.000;0.000
50025;;ACICLOVIR 200MG X 8 TAB (BLIST) LAPROFF;0;14;LAPROFF;5.83;5.25;MEDICAMENTOS;NULL;ACICLOVIR ;1.00;10.00;0.000;0.000
34825;7592348201117;ACICLOVIR 50MG CREMA TOPICA X 20G POLINAC;82;119;POLINAC;24.12;24.12;MEDICAMENTOS;2024-09-25;ACICLOVIR ;0.00;0.00;0.000;0.000
50026;7703038067528;ACICLOVIR 800MG X 10 TAB  LAPROFF;144;0;LAPROFF;26.25;23.63;MEDICAMENTOS;2023-05-25;ACICLOVIR ;1.00;10.00;0.000;0.000
053831;6921875010748;ACICLOVIR TAB X 200 MG X10 KMPLUS;41;60;KMPLUS;6.36;6.36;MEDICAMENTOS;2023-04-25;ACICLOVIR ;0.00;0.00;0.000;0.000
694224;6942189304224;ACICLOVIR TAB X 400 MG X10 KMPLUS;60;60;KMPLUS;6.64;6.64;MEDICAMENTOS;2024-05-25;ACICLOVIR ;0.00;0.00;0.000;0.000
759118;7598668001185;ACIDO ACETILSALICILICO 81MG X 100 TAB DAMPE;34;834;DAMPE;23.10;23.10;MEDICAMENTOS;2024-08-25;ACIDO ACETILSALICILICO;0.00;0.00;0.000;0.000
77371;733739108043;ACIDO ALFA LIPOICO 250MG X 60 CAP NOW;41;21;NOW;89.03;84.58;MEDICAMENTOS;2025-08-25;ACIDO ALFA LIPOICO;1.00;5.00;0.000;0.000
70490;7594000850282;ACIDO ASCORBICO 100MG/5ML 30ML BIOQUIMICA;359;645;BIOQUIMICA;11.89;11.65;MEDICAMENTOS;2022-10-25;VITAMINA C;1.00;2.00;0.000;0.000
50282-1;8904159499772;ACIDO ASCORBICO 100MG/ML X 10 AMP ADN;64;228;ADN MEDICAL;65.77;62.48;INYECTABLES;2024-08-25;VITAMINA C;1.00;5.00;0.000;0.000
210323;17598252101540;ACIDO ASCORBICO 500MG/5ML X 10 AMP DISTRILAB;109;118;DISTRILAB;73.03;62.08;INYECTABLES;2024-06-25;VITAMINA C;1.00;15.00;0.000;0.000
25921;7591012070943;ACIDO BORICO (VAGINAL) X 10 CAPS. LYA;0;292;LYA;8.71;7.40;PATENTADOS NATURALES;NULL;ACIDO BORICO;1.00;15.00;0.000;0.000
30105;7592368002176;ACIDO BORICO 100 G X 12 UND. FSI;5;0;FSI;73.80;62.73;PATENTADOS NATURALES;2022-10-25;ACIDO BORICO;1.00;15.00;0.000;0.000
56378;7591012101289;ÁCIDO BÓRICO 20 G LYA;125;166;LYA;4.52;4.07;PATENTADOS NATURALES;2024-11-25;ACIDO BORICO;1.00;10.00;0.000;0.000
36569;7592141000016;ACIDO BORICO 20 GR FINE CHEMICALS;1391;0;FINE CHEMICALS;6.98;6.98;PATENTADOS NATURALES;2023-06-25;ACIDO BORICO;0.00;0.00;0.000;0.000
30106;7592368001070;ACIDO BORICO 20G X 12 UND. FSI;17;0;FSI;40.78;34.66;PATENTADOS NATURALES;2023-12-25;ACIDO BORICO;1.00;15.00;0.000;0.000
04075;7591616001466;ACIDO BORICO 20GR BIOFARCO;130;166;BIOFARCO;5.09;4.07;PATENTADOS NATURALES;2024-12-25;ACIDO BORICO;1.00;20.00;0.000;0.000
04577;7591616001695;ACIDO BORICO CAP VAGINAL X 10 BIOFARCO;132;72;BIOFARCO;8.57;7.88;PATENTADOS NATURALES;2023-10-25;ACIDO BORICO;1.00;8.00;0.000;0.000
1303;7594001451983;ACIDO BORICO X 25 GRS RECETTEMARK;1;42;RECETTEMARK;7.71;7.71;PATENTADOS NATURALES;NULL;ACIDO BORICO;0.00;0.00;0.000;0.000
50032;;ACIDO FOLICO 1 MG X 10 TAB (BLISTER) LAPROFF;0;16;LAPROFF;2.14;1.93;MEDICAMENTOS;NULL;ACIDO FOLICO;1.00;10.00;0.000;0.000
50032-1;7703038050032;ACIDO FOLICO 1 MG X 400 TAB LAPROFF;0;1;LAPROFF;85.54;85.54;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
00026;7591619501031;ACIDO FOLICO 10 MG / ML GTAS X 15ML KLINOS;114;289;KLINOS;20.76;14.53;MEDICAMENTOS;2023-03-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
95476;7594001101338;ACIDO FOLICO 10MG TAB X 20 PLUSANDEX;1246;1206;PLUSANDEX;4.78;4.54;MEDICAMENTOS;2025-02-25;ACIDO FOLICO;1.00;5.00;0.000;0.000
203001;8904177102074;ACIDO FOLICO 5 MG X 10 TAB CAMBRIDGE;676;611;CAMBRIDGE;3.18;3.18;MEDICAMENTOS;2023-12-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
40391;7592601303190;ACIDO FOLICO 5 MG X 10 TAB MEYER;669;605;MEYER;6.49;3.25;MEDICAMENTOS;2022-11-25;ACIDO FOLICO;0.00;0.00;1.000;1.000
40390;7592601300014;ACIDO FOLICO 5 MG X 20 TAB MEYER;1;463;MEYER;9.73;4.87;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;1.000;1.000
201031;7594001101314;ACIDO FOLICO 5 MG X 30 TAB  PLUSANDEX;269;1728;PLUSANDEX;5.04;4.79;MEDICAMENTOS;2025-11-25;ACIDO FOLICO;1.00;5.00;0.000;0.000
31103;7592601301479;ACIDO FOLICO 5 MG X 30 TAB MEYER;1073;1191;MEYER;15.58;7.79;MEDICAMENTOS;2022-11-25;ACIDO FOLICO;0.00;0.00;1.000;1.000
31034;7592601303206;ACIDO FOLICO COMP 10 MG X 10 MEYER;10;1292;MEYER;7.14;5.71;MEDICAMENTOS;NULL;ACIDO FOLICO;1.00;20.00;0.000;0.000
2020;7598813000322;ACIDO FOLICO COMP 10 MG X 100 TAB MM;74;37;MM;28.62;28.62;MEDICAMENTOS;2024-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
78536;7592349926194;ACIDO FOLICO COMP 10 MG X 20 G.C;92;264;GENERICOS DE CALIDAD;9.71;6.80;MEDICAMENTOS;2024-06-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
00024;7591619501024;ACIDO FOLICO COMP 10 MG X 20 KLINOS;2271;1104;KLINOS;14.27;9.99;MEDICAMENTOS;2026-06-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
16484;7592601300021;ACIDO FOLICO COMP 10 MG X 20 MEYER;284;613;MEYER;13.63;6.82;MEDICAMENTOS;2022-11-25;ACIDO FOLICO;0.00;0.00;1.000;1.000
00128;7591619000220;ACIDO FOLICO COMP 10 MG X 30 KLINOS;190;32;KLINOS;18.17;12.72;MEDICAMENTOS;2025-11-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
98644;7591519004892;ACIDO FOLICO COMP 10MG X 20 CALOX;1203;42;CALOX;8.11;5.27;MEDICAMENTOS;2023-08-25;ACIDO FOLICO;1.00;35.00;0.000;0.000
98532;7592601301486;ACIDO FOLICO COMP 10MG X 30 MEYER;430;675;MEYER;15.57;12.46;MEDICAMENTOS;2023-08-25;ACIDO FOLICO;1.00;20.00;0.000;0.000
021;7598813000131;ACIDO FOLICO COMP 5 MG X 100 TAB MM;77;115;MM;17.79;17.79;MEDICAMENTOS;2024-07-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
121212;7591619501017;ACIDO FOLICO COMP 5 MG X 20 KLINOS;1162;249;KLINOS;7.79;5.45;MEDICAMENTOS;2024-09-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
20198;7591619000213;ACIDO FOLICO COMP 5 MG X 30 KLINOS;189;609;KLINOS;10.39;7.27;MEDICAMENTOS;2024-10-25;ACIDO FOLICO;1.00;30.00;0.000;0.000
92779;7592601300779;ACIDO FOLICO GOTAS  X 15 ML MEYER;1920;1069;MEYER;14.27;13.56;MEDICAMENTOS;2024-02-25;ACIDO FOLICO;1.00;5.00;0.000;0.000
92858;7594001101345;ACIDO FOLICO TAB  10MG X 30 PLUSANDEX;666;1421;PLUSANDEX;6.90;6.69;MEDICAMENTOS;2025-02-25;ACIDO FOLICO;1.00;3.00;0.000;0.000
060902;;ACIDO FOLICO TAB 5 MG X 100 MEDEK;65;8;KMPLUS;20.70;20.70;MEDICAMENTOS;2022-11-25;ACIDO FOLICO;0.00;0.00;0.000;0.000
16112;;ACIDO FOLICO TAB 5MG X 15 PROFARMACOS;52;0;PROFARMACOS;0.91;0.91;MEDICAMENTOS;NULL;ACIDO FOLICO;0.00;0.00;0.000;0.000
210330;7598252101369;ACIDO VALPROICO 200MG/5ML SOLUC X100ML DISTRI;54;91;DISTRILAB;34.37;29.21;MEDICAMENTOS;2024-05-25;ACIDO VALPROICO ;1.00;15.00;0.000;0.000
08026;7591519051865;ACLER 150MG X 1 TAB MCK;95;123;MCK;17.85;14.28;MEDICAMENTOS;2023-08-25;ACIDO IBANDRONICO ;1.00;20.00;0.000;0.000
81684;816559010984;ACONDICIONAD. ALBERTO VO5 EXTRA BODY 443ML;0;1;VO5;13.16;13.16;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
81660;816559013138;ACONDICIONAD. ALBERTO VO5 OCEAN REFRESH 370ML;8;0;VO5;13.16;13.16;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
81662;816559014258;ACONDICIONAD. ALBERTO VO5 SPLIND ENDS X 325ML;6;0;VO5;13.16;13.16;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
81658;816559012971;ACONDICIONADOR ALBERTO VO5 BLACKBERRY SAGE TE;5;5;VO5;13.16;13.16;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
81664;816559012957;ACONDICIONADOR ALBERTO VO5 SUN KISSED RASPERR;5;3;VO5;13.16;13.16;MISCELANEOS;NULL;;0.00;0.00;0.000;0.000
779249;7795368002249;ACRYLARM (ACIDO POLIA) GEL 0.2% X10G POEN;25;4;POEN;90.85;90.85;MEDICAMENTOS;2023-05-25;ADAPALENO+CLINDAMICINA;0.00;0.00;0.000;0.000
759172;7597189000172;ACTIVITON KIDS GUMMIES X 30 PHARMATECH;5;0;PHARMATECH;55.81;44.65;MEDICAMENTOS;2022-09-25;MULTIVITAMINICO ;1.00;20.00;0.000;0.000
90002;7592229000020;ACUTEN 500-25MG TAB X 20 FARMA;48;38;FARMA;24.54;24.54;ESTUPEFACIENTE;2023-10-25;ACETAMINOFEN -CODEINA ;0.00;0.00;0.000;0.000
48563;7592601100010;AD-VIT SUSP X 240 ML  MEYER;76;181;MEYER;33.10;33.10;MEDICAMENTOS;2023-03-25;VITAMINA A -VITAMINA D;0.00;0.00;1.000;6.000
188943;8904091150656;ADAPNE  CLIN GEL TOPICO 30GR GLENMARK;0;11;GLENMARK;23.15;23.15;MEDICAMENTOS;NULL;ADAPALENO+CLINDAMICINA;0.00;0.00;0.000;0.000
100060;8904091148011;ADAPNE GEL TOPICO 30GR GLENMARK;0;43;GLENMARK;20.09;20.09;MEDICAMENTOS;NULL;ADAPALENO+CLINDAMICINA;0.00;0.00;0.000;0.000
100054;7703153028053;ADELLA 2MG/0.03MG X 21 TAB VIVAX;114;114;VIVAX;55.30;55.30;MEDICAMENTOS;2023-08-25;CLORMADINONA ACETATO -ETINILESTRADIOL (2 mg - 0,03 mg);0.00;0.00;0.000;0.000
00043;7591844000590;ADEMINA DERMOPROTECTORA 3E X 60GR ETIFAR;1;38;ETIFAR;23.57;23.57;MEDICAMENTOS;NULL;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00153;7591844000712;ADEMINA GEL ANTIBACTERIAL 100ML ETIFAR;124;141;ETIFAR;10.98;10.21;MEDICAMENTOS;2023-02-25;VITAMINA A -VITAMINA D -ZINC;1.00;7.00;0.000;0.000
100147;7591844000439;ADEMINA PLUS 30GR ETIFAR;31;151;ETIFAR;11.67;11.67;MEDICAMENTOS;NULL;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
00148;7591844000446;ADEMINA PLUS 60GR ETIFAR;150;91;ETIFAR;20.10;20.10;MEDICAMENTOS;2024-10-25;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
000150;7591844000606;ADEMINA SOL.JAB. 190CC. ETIFAR;0;195;ETIFAR;11.78;11.78;MISCELANEOS;NULL;VITAMINA A -VITAMINA D -ZINC;0.00;0.00;0.000;0.000
168087-1;;ADHESIVO DURAPORE 1¨X5 YDS CAJA X12 PROMEINT;0;8;PROMEINT;93.11;93.11;DESCARTABLES;NULL;;0.00;0.00;0.000;0.000
168083-1;7597467000641;ADHESIVO DURAPORE 2¨X5 YDS CAJA X6 PROMEINT;1;37;PROMEINT;93.11;93.11;DESCARTABLES;NULL;;0.00;0.00;0.000;0.000
